"unigram","bigram","freq"
"a","home",10
"a","kind",10
"a","lie",10
"a","member",10
"a","recipe",10
"a","slight",10
"a","specific",10
"a","sweet",10
"a","tough",10
"about","making",10
"actually","a",10
"add","in",10
"after","his",10
"ago","and",10
"all","our",10
"all","three",10
"all","to",10
"also","been",10
"am","the",10
"an","entire",10
"an","excellent",10
"and","about",10
"and","another",10
"and","black",10
"and","everyone",10
"and","family",10
"and","friends",10
"and","god",10
"and","happy",10
"and","id",10
"and","keep",10
"and","many",10
"and","maybe",10
"and","social",10
"and","started",10
"and","thus",10
"and","told",10
"and","very",10
"and","want",10
"and","which",10
"and","who",10
"and","write",10
"anyway","i",10
"are","always",10
"are","being",10
"are","only",10
"are","they",10
"are","too",10
"are","trying",10
"are","two",10
"as","many",10
"ask","me",10
"asked","the",10
"asked","to",10
"at","one",10
"at","your",10
"back","as",10
"back","at",10
"back","then",10
"bad","for",10
"bag","of",10
"be","all",10
"be","going",10
"been","on",10
"been","to",10
"been","working",10
"beer","is",10
"below","is",10
"best","to",10
"blog","post",10
"bottle","of",10
"bring","the",10
"but","is",10
"but","only",10
"but","with",10
"can","help",10
"can","read",10
"can","take",10
"can","we",10
"card","and",10
"change","the",10
"clear","that",10
"click","here",10
"comment","on",10
"day","it",10
"day","or",10
"didnt","do",10
"didnt","take",10
"directed","by",10
"do","all",10
"do","for",10
"dont","need",10
"dont","you",10
"during","a",10
"effort","to",10
"either","way",10
"elements","of",10
"ends","up",10
"especially","in",10
"even","had",10
"ever","been",10
"everyone","is",10
"everything","that",10
"except","for",10
"father","of",10
"figured","out",10
"first","and",10
"first","of",10
"first","place",10
"first","thing",10
"for","any",10
"for","being",10
"for","free",10
"for","lunch",10
"for","myself",10
"for","sale",10
"for","several",10
"four","years",10
"from","its",10
"from","one",10
"from","your",10
"fun","to",10
"gave","her",10
"gave","up",10
"global","warming",10
"got","up",10
"has","become",10
"has","done",10
"have","that",10
"he","just",10
"he","left",10
"help","but",10
"her","eyes",10
"her","face",10
"her","family",10
"her","on",10
"here","but",10
"hes","been",10
"him","with",10
"his","face",10
"his","mother",10
"home","in",10
"hours","of",10
"how","is",10
"how","my",10
"however","it",10
"human","being",10
"i","began",10
"i","hadnt",10
"i","leave",10
"i","left",10
"i","live",10
"i","noticed",10
"i","pray",10
"i","remembered",10
"i","spent",10
"i","tell",10
"i","usually",10
"i","wondered",10
"if","your",10
"ill","have",10
"im","really",10
"in","as",10
"in","at",10
"in","december",10
"in","different",10
"in","may",10
"in","search",10
"in","touch",10
"inside","the",10
"into","his",10
"is","available",10
"is","based",10
"is","called",10
"is","filled",10
"is","of",10
"is","simply",10
"is","when",10
"is","with",10
"is","you",10
"it","back",10
"it","even",10
"it","feels",10
"it","right",10
"it","through",10
"it","you",10
"its","still",10
"just","going",10
"just","not",10
"keeping","the",10
"knew","i",10
"knew","it",10
"know","and",10
"know","this",10
"learn","to",10
"led","to",10
"life","to",10
"like","my",10
"like","you",10
"loss","of",10
"loved","it",10
"makes","the",10
"making","the",10
"man","in",10
"many","different",10
"many","things",10
"many","years",10
"maybe","even",10
"maybe","i",10
"maybe","it",10
"me","now",10
"meant","to",10
"mom","and",10
"money","and",10
"more","i",10
"much","about",10
"much","in",10
"my","mothers",10
"my","other",10
"my","readers",10
"my","work",10
"never","get",10
"not","because",10
"not","i",10
"not","too",10
"noted","that",10
"nothing","but",10
"nothing","more",10
"now","it",10
"of","days",10
"of","dollars",10
"of","every",10
"of","food",10
"of","fun",10
"of","many",10
"of","no",10
"of","others",10
"of","tea",10
"of","thing",10
"of","thousands",10
"of","wine",10
"off","my",10
"on","for",10
"on","with",10
"once","we",10
"one","or",10
"one","with",10
"or","other",10
"or","your",10
"other","things",10
"others","and",10
"out","what",10
"over","his",10
"part","in",10
"participate","in",10
"pay","for",10
"peanut","butter",10
"people","from",10
"people","with",10
"perhaps","the",10
"photos","and",10
"played","a",10
"post","about",10
"presence","of",10
"pretty","good",10
"probably","the",10
"provide","a",10
"range","of",10
"reached","the",10
"reading","it",10
"really","dont",10
"really","want",10
"response","to",10
"rid","of",10
"right","i",10
"right","there",10
"role","in",10
"said","she",10
"save","the",10
"says","the",10
"school","i",10
"seen","in",10
"seen","it",10
"she","just",10
"she","knows",10
"she","says",10
"show","that",10
"showed","up",10
"shows","that",10
"sit","down",10
"so","to",10
"society","and",10
"some","good",10
"some","sort",10
"sorry","for",10
"sorts","of",10
"spirit","of",10
"start","a",10
"start","with",10
"still","a",10
"stuck","in",10
"sure","if",10
"system","is",10
"than","that",10
"than","what",10
"that","at",10
"that","make",10
"that","most",10
"that","shes",10
"the","audience",10
"the","author",10
"the","bank",10
"the","better",10
"the","blood",10
"the","bottle",10
"the","box",10
"the","camera",10
"the","catholic",10
"the","color",10
"the","computer",10
"the","couch",10
"the","court",10
"the","daily",10
"the","dead",10
"the","district",10
"the","dog",10
"the","dough",10
"the","eggs",10
"the","elements",10
"the","energy",10
"the","father",10
"the","fun",10
"the","head",10
"the","latter",10
"the","look",10
"the","modern",10
"the","moon",10
"the","mother",10
"the","older",10
"the","paper",10
"the","pictures",10
"the","plot",10
"the","race",10
"the","recent",10
"the","secret",10
"the","senate",10
"the","site",10
"the","snow",10
"the","spirit",10
"the","st",10
"the","standard",10
"the","start",10
"the","streets",10
"the","true",10
"the","ultimate",10
"the","victims",10
"the","view",10
"the","wall",10
"the","weather",10
"the","wife",10
"the","wood",10
"the","yearold",10
"their","new",10
"their","parents",10
"them","they",10
"them","up",10
"then","it",10
"then","she",10
"they","did",10
"they","wanted",10
"think","you",10
"this","afternoon",10
"this","but",10
"this","card",10
"this","kind",10
"this","man",10
"this","on",10
"this","stuff",10
"this","summer",10
"this","years",10
"those","things",10
"thought","id",10
"time","as",10
"to","accept",10
"to","as",10
"to","but",10
"to","care",10
"to","drink",10
"to","each",10
"to","even",10
"to","explore",10
"to","fall",10
"to","fix",10
"to","focus",10
"to","return",10
"to","seek",10
"to","someone",10
"to","something",10
"to","stand",10
"to","vote",10
"too","bad",10
"too","late",10
"up","all",10
"up","his",10
"up","so",10
"up","their",10
"use","a",10
"used","as",10
"used","by",10
"very","little",10
"wait","for",10
"was","done",10
"was","getting",10
"was","made",10
"was","right",10
"was","then",10
"was","trying",10
"wasnt","the",10
"way","and",10
"way","more",10
"we","live",10
"well","but",10
"well","have",10
"went","for",10
"went","out",10
"were","doing",10
"were","just",10
"were","no",10
"were","there",10
"what","did",10
"whatever","you",10
"when","im",10
"which","will",10
"who","dont",10
"will","always",10
"with","those",10
"without","a",10
"woke","up",10
"work","out",10
"worked","on",10
"worth","of",10
"would","go",10
"would","say",10
"written","by",10
"yeah","i",10
"year","the",10
"year","we",10
"you","but",10
"you","or",10
"you","read",10
"you","who",10
"you","wont",10
"youve","been",10
"a","beer",9
"a","blue",9
"a","call",9
"a","daily",9
"a","decade",9
"a","difference",9
"a","double",9
"a","dream",9
"a","friends",9
"a","glass",9
"a","love",9
"a","meeting",9
"a","message",9
"a","night",9
"a","pair",9
"a","plan",9
"a","point",9
"a","recent",9
"a","record",9
"a","red",9
"a","safe",9
"a","set",9
"a","shot",9
"a","side",9
"a","significant",9
"a","society",9
"a","steady",9
"a","team",9
"a","thing",9
"a","video",9
"a","world",9
"added","to",9
"afraid","to",9
"ahead","of",9
"all","know",9
"all","sorts",9
"all","things",9
"also","have",9
"am","just",9
"an","attempt",9
"an","end",9
"an","important",9
"an","opportunity",9
"and","because",9
"and","become",9
"and","call",9
"and","down",9
"and","going",9
"and","hopefully",9
"and","less",9
"and","making",9
"and","once",9
"and","out",9
"and","read",9
"and","show",9
"and","sometimes",9
"and","think",9
"and","try",9
"and","women",9
"and","wont",9
"any","time",9
"apart","from",9
"appeal","to",9
"are","both",9
"are","many",9
"are","more",9
"are","supposed",9
"are","there",9
"around","in",9
"around","to",9
"array","of",9
"as","this",9
"aspect","of",9
"attempts","to",9
"away","for",9
"away","i",9
"away","to",9
"back","for",9
"back","up",9
"be","and",9
"be","good",9
"be","taken",9
"be","with",9
"been","given",9
"before","that",9
"better","for",9
"bin","laden",9
"blog","for",9
"blog","is",9
"blue","and",9
"board","of",9
"book","i",9
"born","in",9
"box","of",9
"but","because",9
"but","one",9
"but","theres",9
"by","all",9
"by","and",9
"by","any",9
"can","imagine",9
"can","say",9
"can","still",9
"cant","do",9
"cant","help",9
"catch","up",9
"change","it",9
"cold","and",9
"comes","in",9
"comes","with",9
"commitment","to",9
"corner","of",9
"creating","a",9
"day","after",9
"day","at",9
"day","but",9
"day","that",9
"day","when",9
"death","of",9
"dedicated","to",9
"didnt","seem",9
"different","from",9
"dining","room",9
"does","that",9
"doesnt","have",9
"doesnt","know",9
"dont","see",9
"down","in",9
"dozens","of",9
"each","and",9
"education","and",9
"effects","of",9
"end","in",9
"enjoy","it",9
"et","al",9
"even","with",9
"everything","and",9
"everything","from",9
"experience","with",9
"film","is",9
"first","one",9
"first","week",9
"for","anything",9
"for","at",9
"for","both",9
"for","days",9
"for","everyone",9
"for","stopping",9
"for","work",9
"forced","to",9
"from","all",9
"from","it",9
"gave","him",9
"get","away",9
"getting","back",9
"given","a",9
"glad","to",9
"go","into",9
"gone","to",9
"good","enough",9
"good","friend",9
"good","to",9
"got","into",9
"got","it",9
"got","me",9
"great","deal",9
"great","for",9
"growing","up",9
"had","found",9
"hands","on",9
"happen","in",9
"happen","to",9
"happy","with",9
"has","also",9
"has","more",9
"has","taken",9
"have","all",9
"have","found",9
"have","something",9
"he","looked",9
"he","might",9
"he","told",9
"he","wasnt",9
"head","of",9
"head","that",9
"heat","and",9
"her","first",9
"her","i",9
"her","with",9
"here","it",9
"here","with",9
"hold","the",9
"home","for",9
"home","with",9
"hoping","for",9
"house","on",9
"how","he",9
"i","come",9
"i","cut",9
"i","picked",9
"i","set",9
"i","shall",9
"i","suspect",9
"i","swear",9
"id","be",9
"idea","what",9
"if","any",9
"if","someone",9
"im","doing",9
"im","happy",9
"im","talking",9
"importance","of",9
"in","april",9
"in","august",9
"in","march",9
"in","most",9
"in","so",9
"include","a",9
"included","in",9
"interesting","to",9
"is","at",9
"is","for",9
"is","her",9
"is","part",9
"is","scheduled",9
"issue","of",9
"it","almost",9
"it","felt",9
"it","he",9
"it","its",9
"it","my",9
"it","now",9
"it","until",9
"its","about",9
"its","way",9
"just","had",9
"just","in",9
"just","wanted",9
"keep","in",9
"keep","me",9
"keep","my",9
"keep","up",9
"kids","and",9
"last","of",9
"late","to",9
"layer","of",9
"least","one",9
"led","by",9
"let","him",9
"let","it",9
"lets","just",9
"like","they",9
"line","of",9
"little","too",9
"live","and",9
"living","room",9
"love","i",9
"made","from",9
"made","my",9
"made","this",9
"me","about",9
"me","what",9
"mind","that",9
"minutes","before",9
"moment","and",9
"months","after",9
"more","important",9
"more","information",9
"more","or",9
"more","so",9
"most","part",9
"most","recent",9
"moved","to",9
"much","time",9
"my","car",9
"my","card",9
"my","dad",9
"my","dear",9
"my","eye",9
"my","favorites",9
"my","hands",9
"my","home",9
"my","love",9
"my","opinion",9
"myself","a",9
"myself","i",9
"myself","in",9
"myself","that",9
"needless","to",9
"never","forget",9
"never","have",9
"never","thought",9
"new","and",9
"nice","and",9
"not","at",9
"not","enough",9
"not","having",9
"not","much",9
"not","quite",9
"not","want",9
"note","that",9
"nothing","else",9
"now","a",9
"now","in",9
"now","is",9
"of","another",9
"of","anything",9
"of","christ",9
"of","color",9
"of","energy",9
"of","getting",9
"of","great",9
"of","most",9
"of","town",9
"of","who",9
"off","at",9
"okay","i",9
"on","about",9
"on","april",9
"on","as",9
"on","hand",9
"on","may",9
"one","week",9
"open","to",9
"opposite","of",9
"or","an",9
"or","to",9
"other","and",9
"other","side",9
"our","house",9
"out","from",9
"out","her",9
"out","this",9
"over","again",9
"over","i",9
"people","can",9
"photo","of",9
"pile","of",9
"place","on",9
"plan","on",9
"play","in",9
"pm","and",9
"point","in",9
"possible","to",9
"proud","of",9
"read","them",9
"really","do",9
"really","have",9
"really","really",9
"referred","to",9
"refused","to",9
"related","to",9
"respect","to",9
"resulted","in",9
"role","of",9
"saab","x",9
"said","to",9
"say","they",9
"science","fiction",9
"search","of",9
"season","and",9
"see","my",9
"set","a",9
"set","in",9
"share","the",9
"she","told",9
"she","wanted",9
"short","time",9
"shortly","after",9
"should","not",9
"show","the",9
"so","glad",9
"so","in",9
"so","why",9
"some","say",9
"someone","in",9
"sound","of",9
"source","of",9
"stay","at",9
"still","not",9
"still","the",9
"store","and",9
"story","and",9
"stuff","and",9
"taken","from",9
"taken","to",9
"than","just",9
"that","comes",9
"that","everyone",9
"that","little",9
"that","that",9
"that","what",9
"that","with",9
"thats","it",9
"thats","right",9
"thats","why",9
"the","bad",9
"the","bathroom",9
"the","beach",9
"the","classroom",9
"the","cold",9
"the","constitution",9
"the","counter",9
"the","crowd",9
"the","death",9
"the","difference",9
"the","environment",9
"the","eye",9
"the","fall",9
"the","few",9
"the","films",9
"the","garden",9
"the","general",9
"the","glass",9
"the","grand",9
"the","green",9
"the","highest",9
"the","hospital",9
"the","importance",9
"the","lead",9
"the","leaves",9
"the","lovely",9
"the","low",9
"the","meeting",9
"the","need",9
"the","opposite",9
"the","parents",9
"the","path",9
"the","physical",9
"the","pieces",9
"the","plane",9
"the","presence",9
"the","present",9
"the","pressure",9
"the","rear",9
"the","rules",9
"the","short",9
"the","son",9
"the","source",9
"the","stars",9
"the","study",9
"the","usa",9
"the","voice",9
"the","wild",9
"the","womens",9
"their","first",9
"their","hands",9
"their","relationship",9
"them","at",9
"them","but",9
"then","in",9
"they","came",9
"they","come",9
"they","didnt",9
"they","got",9
"they","really",9
"they","should",9
"thing","and",9
"think","he",9
"think","so",9
"think","we",9
"this","day",9
"this","isnt",9
"this","movie",9
"this","particular",9
"this","photo",9
"this","story",9
"though","he",9
"time","has",9
"to","act",9
"to","address",9
"to","blog",9
"to","defend",9
"to","draw",9
"to","engage",9
"to","escape",9
"to","everyone",9
"to","fit",9
"to","hit",9
"to","in",9
"to","kill",9
"to","life",9
"to","lose",9
"to","more",9
"to","new",9
"to","open",9
"to","purchase",9
"to","raise",9
"to","remove",9
"to","step",9
"to","these",9
"to","throw",9
"to","worry",9
"told","her",9
"turned","to",9
"two","or",9
"under","a",9
"understanding","of",9
"unless","you",9
"until","a",9
"until","he",9
"until","it",9
"up","by",9
"up","your",9
"us","so",9
"use","them",9
"visit","to",9
"wall","street",9
"want","the",9
"was","actually",9
"was","doing",9
"was","even",9
"was","nice",9
"was","sitting",9
"wasnt","a",9
"way","back",9
"way","for",9
"way","home",9
"way","is",9
"way","they",9
"way","too",9
"we","love",9
"we","moved",9
"we","used",9
"week","but",9
"week","in",9
"weekend","i",9
"went","back",9
"were","already",9
"were","made",9
"were","on",9
"were","still",9
"what","can",9
"what","does",9
"what","makes",9
"whats","the",9
"when","its",9
"which","had",9
"which","one",9
"white","house",9
"who","doesnt",9
"who","know",9
"whole","thing",9
"why","did",9
"why","is",9
"will","tell",9
"wish","to",9
"with","another",9
"with","god",9
"with","people",9
"without","any",9
"wonder","what",9
"work","is",9
"works","for",9
"world","that",9
"world","the",9
"worry","about",9
"would","come",9
"would","i",9
"would","take",9
"writing","is",9
"year","but",9
"year","is",9
"year","to",9
"years","the",9
"years","to",9
"yet","another",9
"you","ask",9
"you","did",9
"you","my",9
"you","not",9
"your","head",9
"youre","in",9
"a","a",8
"a","bowl",8
"a","break",8
"a","card",8
"a","clue",8
"a","deep",8
"a","dozen",8
"a","first",8
"a","happy",8
"a","hot",8
"a","house",8
"a","natural",8
"a","pack",8
"a","position",8
"a","previous",8
"a","rather",8
"a","review",8
"a","row",8
"a","scene",8
"a","secret",8
"a","sign",8
"a","slightly",8
"a","strange",8
"a","student",8
"a","tiny",8
"a","writer",8
"about","all",8
"about","being",8
"about","everything",8
"about","years",8
"absolutely","love",8
"act","of",8
"added","that",8
"again","the",8
"ago","that",8
"alcohol","clin",8
"all","and",8
"all","be",8
"all","for",8
"all","its",8
"almost","every",8
"also","had",8
"also","i",8
"also","said",8
"always","a",8
"always","have",8
"am","in",8
"among","them",8
"an","answer",8
"an","article",8
"an","early",8
"an","extra",8
"and","add",8
"and","and",8
"and","both",8
"and","energy",8
"and","fluffy",8
"and","fun",8
"and","having",8
"and","lots",8
"and","political",8
"and","red",8
"and","roll",8
"and","saying",8
"and","start",8
"and","students",8
"and","took",8
"and","two",8
"and","wanted",8
"any","way",8
"anything","that",8
"approach","to",8
"are","and",8
"are","doing",8
"are","for",8
"are","getting",8
"are","no",8
"are","of",8
"are","those",8
"around","me",8
"as","with",8
"ask","the",8
"asked","him",8
"aspects","of",8
"at","him",8
"at","school",8
"at","st",8
"available","for",8
"barack","obama",8
"be","called",8
"be","getting",8
"be","happy",8
"be","i",8
"be","interested",8
"be","my",8
"be","seen",8
"be","something",8
"be","true",8
"because","there",8
"because","theyre",8
"becoming","a",8
"been","able",8
"been","doing",8
"been","made",8
"been","used",8
"behind","a",8
"behind","me",8
"believe","the",8
"best","friends",8
"better","to",8
"between","and",8
"between","them",8
"blog","to",8
"book","that",8
"books","that",8
"boys","and",8
"brand","new",8
"but","on",8
"but","rather",8
"but","those",8
"but","was",8
"by","her",8
"by","i",8
"by","percent",8
"can","and",8
"can","never",8
"cant","even",8
"catholic","church",8
"cause","of",8
"chance","of",8
"children","of",8
"clin","exp",8
"come","down",8
"comes","out",8
"comic","book",8
"coming","to",8
"concept","of",8
"could","just",8
"day","in",8
"day","is",8
"day","they",8
"day","we",8
"days","ago",8
"dead","and",8
"deal","of",8
"definitely","a",8
"described","as",8
"design","team",8
"details","of",8
"determined","to",8
"did","he",8
"didnt","really",8
"died","at",8
"difference","between",8
"do","is",8
"do","my",8
"do","to",8
"doesnt","get",8
"doing","so",8
"done","so",8
"dont","care",8
"dont","understand",8
"doubt","that",8
"down","for",8
"down","i",8
"dreams","and",8
"during","this",8
"easy","and",8
"end","the",8
"enough","of",8
"entire","time",8
"escape","from",8
"europe","and",8
"even","know",8
"every","other",8
"every","year",8
"exp","res",8
"face","the",8
"failed","to",8
"fall","into",8
"far","from",8
"feel","so",8
"feeling","a",8
"feeling","of",8
"film","and",8
"find","some",8
"finished","the",8
"floor","and",8
"focusing","on",8
"follow","the",8
"for","almost",8
"for","children",8
"for","everything",8
"for","over",8
"for","someone",8
"for","three",8
"forget","that",8
"found","it",8
"from","having",8
"from","what",8
"gave","the",8
"get","her",8
"get","on",8
"get","through",8
"girls","and",8
"give","her",8
"given","to",8
"gives","you",8
"giving","me",8
"giving","up",8
"glass","of",8
"go","away",8
"goal","of",8
"goals","and",8
"god","that",8
"good","at",8
"got","out",8
"grateful","for",8
"great","time",8
"had","me",8
"had","my",8
"had","one",8
"hall","of",8
"happy","and",8
"hard","for",8
"has","already",8
"has","gone",8
"has","it",8
"has","only",8
"has","two",8
"have","on",8
"havent","seen",8
"he","continued",8
"he","died",8
"he","gives",8
"he","makes",8
"he","should",8
"he","started",8
"he","wrote",8
"health","and",8
"her","but",8
"her","for",8
"her","mother",8
"her","that",8
"here","at",8
"hes","going",8
"him","but",8
"his","best",8
"his","love",8
"how","a",8
"how","about",8
"how","did",8
"how","far",8
"how","long",8
"i","agree",8
"i","ended",8
"i","enjoy",8
"i","first",8
"i","heard",8
"i","literally",8
"i","start",8
"if","only",8
"if","so",8
"im","feeling",8
"im","on",8
"im","pretty",8
"im","ready",8
"image","and",8
"in","america",8
"in","australia",8
"in","bed",8
"in","but",8
"in","canada",8
"in","control",8
"in","english",8
"in","heaven",8
"in","june",8
"in","no",8
"in","short",8
"in","such",8
"in","what",8
"increase","in",8
"intellectual","property",8
"intended","to",8
"is","coming",8
"is","completely",8
"is","easy",8
"is","even",8
"is","often",8
"is","supposed",8
"is","true",8
"is","used",8
"isnt","the",8
"it","here",8
"it","means",8
"its","actually",8
"its","always",8
"its","first",8
"its","very",8
"ive","ever",8
"joined","the",8
"just","say",8
"just","want",8
"killed","in",8
"knew","that",8
"know","when",8
"land","of",8
"later","in",8
"later","this",8
"least","a",8
"let","them",8
"life","for",8
"life","that",8
"like","he",8
"like","her",8
"liked","the",8
"limited","to",8
"live","with",8
"lives","and",8
"located","in",8
"long","before",8
"looked","up",8
"looking","to",8
"love","how",8
"made","an",8
"make","an",8
"make","me",8
"make","their",8
"man","is",8
"many","many",8
"marker","repair",8
"married","to",8
"matter","of",8
"me","he",8
"me","its",8
"me","up",8
"mean","you",8
"means","i",8
"memory","of",8
"might","as",8
"millions","of",8
"minutes","or",8
"miss","the",8
"money","on",8
"mother","of",8
"mothers","day",8
"my","back",8
"my","dream",8
"my","next",8
"my","old",8
"my","personal",8
"my","second",8
"my","sweet",8
"my","very",8
"never","ever",8
"new","england",8
"next","morning",8
"night","i",8
"night","to",8
"north","carolina",8
"not","always",8
"not","get",8
"not","getting",8
"not","my",8
"not","one",8
"not","yet",8
"now","its",8
"of","blood",8
"of","different",8
"of","fame",8
"of","four",8
"of","human",8
"of","law",8
"of","more",8
"of","myself",8
"of","power",8
"of","reasons",8
"of","school",8
"of","several",8
"of","social",8
"of","such",8
"of","thinking",8
"of","writing",8
"off","a",8
"off","of",8
"oh","well",8
"oil","and",8
"on","him",8
"on","in",8
"on","or",8
"on","something",8
"once","or",8
"once","you",8
"one","hand",8
"only","been",8
"only","for",8
"or","are",8
"or","as",8
"or","her",8
"or","may",8
"or","some",8
"our","children",8
"out","all",8
"out","but",8
"out","it",8
"out","loud",8
"oven","to",8
"over","there",8
"overview","of",8
"owned","by",8
"pain","and",8
"paintball","marker",8
"paper","and",8
"party","and",8
"past","two",8
"past","year",8
"peace","and",8
"per","year",8
"period","of",8
"place","a",8
"place","i",8
"place","of",8
"places","to",8
"pleased","with",8
"pray","that",8
"praying","for",8
"president","of",8
"pretty","sure",8
"problems","and",8
"put","my",8
"put","up",8
"question","is",8
"questions","and",8
"reading","a",8
"really","hard",8
"really","love",8
"really","need",8
"really","wanted",8
"reference","to",8
"respond","to",8
"responsible","for",8
"result","in",8
"right","back",8
"right","in",8
"rights","of",8
"said","his",8
"said","there",8
"same","thing",8
"second","hand",8
"see","why",8
"send","a",8
"service","and",8
"several","years",8
"share","of",8
"she","also",8
"she","asked",8
"she","didnt",8
"she","gets",8
"she","wants",8
"show","them",8
"since","he",8
"since","she",8
"so","as",8
"so","for",8
"so","good",8
"so","so",8
"social","media",8
"some","have",8
"some","photos",8
"someone","to",8
"sometimes","the",8
"sometimes","you",8
"soon","i",8
"stamped","the",8
"standing","in",8
"started","the",8
"state","and",8
"stay","tuned",8
"step","in",8
"stick","with",8
"still","have",8
"stopping","by",8
"story","i",8
"subject","of",8
"super","bowl",8
"sure","he",8
"take","care",8
"take","this",8
"taking","care",8
"tell","him",8
"tell","us",8
"thank","god",8
"thankful","for",8
"that","although",8
"that","first",8
"that","isnt",8
"that","matter",8
"that","moment",8
"thats","all",8
"the","above",8
"the","act",8
"the","afternoon",8
"the","agreement",8
"the","album",8
"the","amazing",8
"the","arena",8
"the","beautiful",8
"the","birds",8
"the","blues",8
"the","bridge",8
"the","chocolate",8
"the","club",8
"the","competition",8
"the","concert",8
"the","council",8
"the","county",8
"the","department",8
"the","design",8
"the","development",8
"the","different",8
"the","dress",8
"the","edges",8
"the","events",8
"the","eyes",8
"the","fabric",8
"the","feeling",8
"the","flower",8
"the","frame",8
"the","groups",8
"the","holidays",8
"the","incident",8
"the","initial",8
"the","jews",8
"the","king",8
"the","lack",8
"the","magic",8
"the","major",8
"the","mark",8
"the","mind",8
"the","mixture",8
"the","move",8
"the","movement",8
"the","nations",8
"the","nfl",8
"the","organization",8
"the","outside",8
"the","page",8
"the","pages",8
"the","pain",8
"the","paintball",8
"the","pair",8
"the","pan",8
"the","performance",8
"the","players",8
"the","position",8
"the","post",8
"the","practice",8
"the","problems",8
"the","reality",8
"the","record",8
"the","rocks",8
"the","sentiment",8
"the","sound",8
"the","stage",8
"the","strength",8
"the","style",8
"the","taste",8
"the","trial",8
"the","various",8
"the","walls",8
"the","warm",8
"the","weight",8
"them","my",8
"them","or",8
"them","out",8
"them","so",8
"then","my",8
"there","has",8
"there","with",8
"there","you",8
"these","people",8
"they","even",8
"they","go",8
"they","just",8
"they","made",8
"they","make",8
"they","said",8
"thing","for",8
"things","you",8
"think","is",8
"thinking","of",8
"this","article",8
"this","beer",8
"this","has",8
"this","last",8
"this","song",8
"those","days",8
"those","in",8
"though","is",8
"though","you",8
"thought","the",8
"thought","to",8
"three","days",8
"thrilled","to",8
"through","an",8
"through","her",8
"through","it",8
"through","to",8
"time","is",8
"time","so",8
"times","and",8
"to","answer",8
"to","anyone",8
"to","bed",8
"to","both",8
"to","clean",8
"to","cook",8
"to","describe",8
"to","destroy",8
"to","earn",8
"to","form",8
"to","gain",8
"to","how",8
"to","many",8
"to","match",8
"to","mind",8
"to","obtain",8
"to","participate",8
"to","prepare",8
"to","produce",8
"to","push",8
"to","receive",8
"to","release",8
"to","serve",8
"to","top",8
"to","wait",8
"today","the",8
"together","for",8
"told","my",8
"told","the",8
"told","them",8
"too","but",8
"too","i",8
"top","and",8
"town","and",8
"true","to",8
"try","it",8
"two","different",8
"up","against",8
"up","but",8
"us","at",8
"use","to",8
"used","for",8
"value","of",8
"very","nice",8
"vision","of",8
"visit","the",8
"wall","of",8
"want","you",8
"war","in",8
"was","all",8
"was","called",8
"was","completely",8
"was","feeling",8
"was","for",8
"was","from",8
"was","how",8
"was","quite",8
"was","reading",8
"was","such",8
"was","with",8
"watching","the",8
"way","around",8
"way","we",8
"we","decided",8
"we","see",8
"week","a",8
"weeks","i",8
"welcome","to",8
"well","that",8
"were","also",8
"were","having",8
"were","talking",8
"weve","had",8
"what","ive",8
"what","my",8
"when","there",8
"where","she",8
"which","in",8
"which","makes",8
"who","died",8
"who","we",8
"whole","lot",8
"why","they",8
"will","still",8
"will","you",8
"with","great",8
"with","just",8
"with","two",8
"women","who",8
"words","are",8
"work","but",8
"world","in",8
"would","rather",8
"would","recommend",8
"york","times",8
"you","be",8
"you","is",8
"you","live",8
"you","love",8
"you","probably",8
"you","start",8
"you","still",8
"you","take",8
"you","this",8
"you","walk",8
"you","what",8
"you","with",8
"youll","be",8
"your","parents",8
"your","time",8
"a","blast",7
"a","budget",7
"a","combination",7
"a","compelling",7
"a","completely",7
"a","crazy",7
"a","cup",7
"a","cute",7
"a","daughter",7
"a","difficult",7
"a","feeling",7
"a","fire",7
"a","former",7
"a","gorgeous",7
"a","guest",7
"a","horrible",7
"a","jew",7
"a","letter",7
"a","link",7
"a","page",7
"a","parent",7
"a","percent",7
"a","product",7
"a","professional",7
"a","project",7
"a","public",7
"a","room",7
"a","shame",7
"a","sound",7
"a","star",7
"a","successful",7
"a","sudden",7
"a","teenager",7
"a","ton",7
"a","traditional",7
"a","tv",7
"a","variety",7
"a","warm",7
"a","white",7
"a","winner",7
"a","work",7
"about","an",7
"about","is",7
"about","things",7
"about","three",7
"absolutely","no",7
"accept","that",7
"added","the",7
"after","he",7
"after","her",7
"after","lunch",7
"after","many",7
"after","reading",7
"after","this",7
"after","years",7
"again","but",7
"age","and",7
"ago","the",7
"air","force",7
"all","along",7
"all","good",7
"allow","the",7
"almost","all",7
"already","had",7
"also","used",7
"always","had",7
"always","wanted",7
"am","also",7
"am","and",7
"am","really",7
"an","american",7
"an","awesome",7
"an","effective",7
"an","expert",7
"an","individual",7
"an","interesting",7
"and","before",7
"and","cant",7
"and","continue",7
"and","girls",7
"and","giving",7
"and","head",7
"and","interesting",7
"and","makes",7
"and","moving",7
"and","pieces",7
"and","ran",7
"and","today",7
"and","trying",7
"and","turned",7
"and","water",7
"and","work",7
"anything","you",7
"are","as",7
"are","free",7
"are","plenty",7
"are","several",7
"areas","of",7
"arrived","in",7
"as","good",7
