"unigram","bigram","trigram","quadgram","freq"
"wanted","to","go","to",5
"we","are","going","to",5
"what","to","do","with",5
"would","have","to","be",5
"a","better","way","to",4
"a","big","fan","of",4
"a","chance","to","win",4
"a","friend","of","mine",4
"a","good","deal","of",4
"a","great","deal","of",4
"a","little","bit","more",4
"a","lot","of","the",4
"a","picture","of","a",4
"a","week","and","a",4
"and","a","bit","of",4
"and","a","lot","of",4
"and","came","up","with",4
"and","i","am","not",4
"and","i","cant","believe",4
"and","i","dont","know",4
"and","i","think","i",4
"and","i","went","to",4
"and","im","going","to",4
"and","not","to","mention",4
"and","there","is","no",4
"and","turned","into","a",4
"and","you","have","a",4
"as","far","back","as",4
"as","it","turns","out",4
"as","long","as","it",4
"as","part","of","the",4
"at","the","age","of",4
"at","the","time","i",4
"at","the","university","of",4
"be","able","to","get",4
"be","able","to","see",4
"because","it","is","a",4
"but","for","the","most",4
"but","i","do","know",4
"but","i","think","that",4
"can","be","found","at",4
"can","be","found","in",4
"cant","wait","to","see",4
"come","up","with","a",4
"correspond","to","there","being",4
"couple","of","years","ago",4
"despite","the","fact","that",4
"did","you","know","that",4
"do","a","lot","of",4
"do","not","have","the",4
"do","the","right","thing",4
"do","you","have","a",4
"dont","get","me","wrong",4
"dont","know","how","i",4
"even","though","i","was",4
"every","now","and","then",4
"every","once","in","a",4
"feel","like","i","have",4
"follow","me","on","twitter",4
"for","a","while","and",4
"for","most","of","the",4
"for","some","reason","i",4
"for","the","life","of",4
"give","it","a","try",4
"got","a","lot","of",4
"had","a","hard","time",4
"had","never","heard","of",4
"have","a","bit","of",4
"have","to","do","the",4
"having","a","great","time",4
"he","was","going","to",4
"hope","to","see","you",4
"how","much","i","love",4
"i","am","not","sure",4
"i","am","saying","is",4
"i","cant","think","of",4
"i","could","feel","my",4
"i","didnt","even","know",4
"i","do","have","a",4
"i","do","not","have",4
"i","felt","like","i",4
"i","had","no","idea",4
"i","had","to","do",4
"i","have","a","feeling",4
"i","have","to","admit",4
"i","have","to","be",4
"i","have","tried","to",4
"i","know","i","am",4
"i","know","i","know",4
"i","made","a","mistake",4
"i","need","to","do",4
"i","realized","that","i",4
"i","think","it","was",4
"i","think","that","the",4
"i","thought","i","was",4
"i","want","to","do",4
"i","wanted","to","make",4
"i","was","looking","for",4
"if","you","dont","know",4
"if","you","dont","like",4
"im","going","to","be",4
"im","not","sure","what",4
"in","a","different","way",4
"in","new","york","city",4
"in","the","back","of",4
"in","the","course","of",4
"in","the","form","of",4
"in","the","history","of",4
"in","the","last","few",4
"in","the","life","of",4
"in","the","midst","of",4
"in","the","process","of",4
"in","the","same","way",4
"in","the","wake","of",4
"incorporated","in","item","c",4
"is","based","on","the",4
"is","not","the","only",4
"it","all","over","again",4
"it","as","much","as",4
"it","comes","down","to",4
"it","has","been","a",4
"it","is","difficult","to",4
"it","is","easy","to",4
"it","was","a","bit",4
"it","would","be","a",4
"its","not","like","i",4
"just","a","little","bit",4
"know","what","to","do",4
"leave","a","comment","on",4
"like","one","of","the",4
"looking","forward","to","the",4
"made","me","think","of",4
"me","and","i","will",4
"more","than","a","year",4
"much","as","you","can",4
"my","wife","and","i",4
"not","a","fan","of",4
"not","as","much","as",4
"not","being","able","to",4
"not","that","i","dont",4
"not","to","mention","the",4
"of","our","lord","jesus",4
"of","the","holy","spirit",4
"of","the","most","popular",4
"of","who","we","are",4
"on","and","off","the",4
"on","the","bottom","of",4
"on","the","lookout","for",4
"on","the","top","of",4
"one","of","the","things",4
"one","of","those","days",4
"other","side","of","the",4
"out","of","the","way",4
"over","the","past","few",4
"please","let","me","know",4
"quite","a","bit","of",4
"quite","a","lot","of",4
"relativistic","quantum","field","theories",4
"should","be","able","to",4
"since","i","was","a",4
"so","i","have","a",4
"than","the","fact","that",4
"that","i","wanted","to",4
"that","there","is","a",4
"the","base","of","the",4
"the","beginning","of","this",4
"the","day","after","i",4
"the","fact","that","this",4
"the","first","part","of",4
"the","first","time","in",4
"the","inside","of","the",4
"the","last","couple","of",4
"the","last","few","months",4
"the","last","few","weeks",4
"the","life","of","me",4
"the","next","day","and",4
"the","only","one","who",4
"the","only","thing","that",4
"the","other","hand","i",4
"the","remainder","of","the",4
"the","shape","of","the",4
"the","start","of","the",4
"the","thief","of","bagdad",4
"the","world","is","a",4
"there","are","lots","of",4
"they","wanted","to","go",4
"things","i","want","to",4
"this","is","exactly","what",4
"this","is","what","i",4
"to","a","place","where",4
"to","admit","that","i",4
"to","be","in","the",4
"to","check","it","out",4
"to","do","a","little",4
"to","figure","out","what",4
"to","give","them","a",4
"to","one","of","the",4
"to","pay","for","the",4
"to","pick","up","the",4
"to","say","that","the",4
"to","see","if","i",4
"to","share","it","with",4
"to","take","part","in",4
"to","talk","about","the",4
"turns","out","to","be",4
"waiting","for","it","to",4
"was","a","lot","of",4
"was","one","of","my",4
"was","so","much","fun",4
"we","are","at","the",4
"we","dont","want","to",4
"what","do","we","do",4
"what","i","am","saying",4
"when","i","was","a",4
"with","a","bit","of",4
"with","a","couple","of",4
"with","a","group","of",4
"with","a","lot","of",4
"with","a","piece","of",4
"with","one","of","the",4
"would","be","a","good",4
"would","have","been","a",4
"would","need","to","be",4
"you","are","trying","to",4
"you","dont","have","to",4
"you","dont","want","to",4
"you","just","have","to",4
"you","want","to","get",4
"a","bit","of","time",3
"a","certain","amount","of",3
"a","closeup","of","the",3
"a","couple","of","other",3
"a","cup","of","tea",3
"a","few","days","ago",3
"a","few","things","that",3
"a","first","name","basis",3
"a","group","of","people",3
"a","hell","of","a",3
"a","host","of","other",3
"a","huge","fan","of",3
"a","little","earlier","than",3
"a","little","while","longer",3
"a","lot","of","money",3
"a","lot","of","things",3
"a","member","of","the",3
"a","piece","of","paper",3
"a","song","for","coretta",3
"a","stay","at","home",3
"a","wide","variety","of",3
"a","work","in","progress",3
"a","year","ago","i",3
"a","year","in","the",3
"able","to","see","the",3
"about","a","month","ago",3
"after","a","year","of",3
"all","in","all","it",3
"all","the","rest","of",3
"all","you","can","think",3
"all","you","need","to",3
"along","the","lines","of",3
"also","be","able","to",3
"am","looking","forward","to",3
"an","act","of","faith",3
"an","example","of","the",3
"and","a","whole","lot",3
"and","all","of","the",3
"and","certain","other","arrangements",3
"and","even","though","i",3
"and","i","do","not",3
"and","i","dont","have",3
"and","i","dont","think",3
"and","i","had","to",3
"and","i","have","been",3
"and","i","remember","the",3
"and","i","think","that",3
"and","i","wanted","to",3
"and","in","some","cases",3
"and","it","is","the",3
"and","it","turned","out",3
"and","it","was","not",3
"and","it","was","pretty",3
"and","of","course","the",3
"and","that","he","was",3
"and","there","was","a",3
"and","to","be","honest",3
"and","you","have","to",3
"anyone","who","is","a",3
"are","a","couple","of",3
"are","a","few","things",3
"are","a","number","of",3
"are","not","the","only",3
"are","not","the","same",3
"are","some","of","the",3
"are","supposed","to","be",3
"are","the","light","of",3
"arrangements","correspond","to","there",3
"as","a","human","being",3
"as","excited","as","i",3
"as","i","like","to",3
"as","i","would","like",3
"as","if","she","were",3
"as","long","as","its",3
"as","long","as","you",3
"as","much","as","the",3
"as","much","of","a",3
"as","part","of","a",3
"as","part","of","her",3
"as","some","of","the",3
"as","soon","as","we",3
"as","the","person","who",3
"as","the","savior","of",3
"as","well","as","other",3
"as","you","would","expect",3
"at","first","i","was",3
"at","least","a","little",3
"at","me","and","i",3
"at","the","back","of",3
"at","the","base","of",3
"at","the","last","minute",3
"at","the","moment","i",3
"at","the","risk","of",3
"at","the","time","and",3
"at","the","time","but",3
"at","the","time","that",3
"at","the","very","least",3
"be","a","better","person",3
"be","able","to","find",3
"be","able","to","read",3
"be","carried","out","by",3
"be","in","the","same",3
"be","included","in","the",3
"be","sure","to","check",3
"be","there","for","her",3
"bear","in","mind","that",3
"because","i","dont","want",3
"because","i","wanted","to",3
"because","it","is","the",3
"because","most","of","the",3
"but","i","dont","think",3
"but","in","the","end",3
"but","it","was","a",3
"but","it","was","the",3
"but","the","reality","is",3
"but","there","is","a",3
"but","they","are","not",3
"but","this","is","a",3
"by","the","time","i",3
"by","the","way","i",3
"came","up","with","a",3
"can","be","used","to",3
"can","only","hope","that",3
"can","see","in","the",3
"certain","other","arrangements","correspond",3
"close","to","the","edge",3
"could","be","used","to",3
"could","do","with","a",3
"could","not","be","reached",3
"dc","in","next","st",3
"dinner","and","then","we",3
"do","it","all","over",3
"do","not","have","a",3
"do","not","know","what",3
"do","you","want","your",3
"dont","have","to","go",3
"dont","have","to","worry",3
"dont","know","what","to",3
"dont","want","to","get",3
"dont","want","to","i",3
"each","and","every","one",3
"end","of","the","day",3
"end","up","with","a",3
"ended","up","with","a",3
"enough","for","me","to",3
"even","though","i","had",3
"even","though","it","was",3
"every","time","i","see",3
"fell","in","love","with",3
"few","weeks","ago","that",3
"find","a","way","to",3
"find","out","how","to",3
"for","a","chance","to",3
"for","a","few","hours",3
"for","a","little","while",3
"for","a","number","of",3
"for","a","short","time",3
"for","all","of","us",3
"for","at","least","the",3
"for","everything","and","anything",3
"for","it","to","be",3
"for","me","it","is",3
"for","minutes","or","until",3
"for","so","long","that",3
"for","the","last","few",3
"for","the","sake","of",3
"for","the","time","being",3
"fresh","in","my","mind",3
"from","one","of","the",3
"front","of","me","was",3
"get","a","lot","of",3
"get","in","the","way",3
"get","me","wrong","i",3
"given","the","opportunity","to",3
"going","to","be","the",3
"had","a","chance","to",3
"had","an","opportunity","to",3
"hard","work","and","i",3
"has","always","been","a",3
"have","a","hard","time",3
"have","a","look","at",3
"have","a","problem","with",3
"have","a","sense","of",3
"have","been","able","to",3
"have","never","been","so",3
"have","the","chance","to",3
"have","the","right","to",3
"have","the","time","to",3
"have","to","be","on",3
"have","to","do","is",3
"have","to","say","that",3
"have","to","worry","about",3
"have","yet","to","find",3
"having","a","hard","time",3
"he","has","said","we",3
"he","said","he","was",3
"here","we","are","at",3
"hes","going","to","be",3
"hope","you","have","a",3
"hope","you","like","it",3
"hour","and","a","half",3
"how","it","could","be",3
"how","many","times","have",3
"how","much","money","they",3
"hundreds","of","thousands","of",3
"husband","on","the","other",3
"i","also","used","the",3
"i","am","just","tired",3
"i","am","not","making",3
"i","am","so","excited",3
"i","can","hear","the",3
"i","can","honestly","say",3
"i","can","see","how",3
"i","can","see","why",3
"i","cant","believe","i",3
"i","cant","help","but",3
"i","cant","tell","you",3
"i","could","go","on",3
"i","could","have","been",3
"i","decided","to","do",3
"i","decided","to","take",3
"i","decided","to","try",3
"i","decided","to","use",3
"i","did","not","want",3
"i","didnt","have","to",3
"i","didnt","make","it",3
"i","do","not","like",3
"i","dont","care","if",3
"i","dont","have","a",3
"i","dont","have","the",3
"i","dont","know","where",3
"i","dont","think","i",3
"i","feel","like","i",3
"i","feel","like","it",3
"i","fell","in","love",3
"i","had","a","lot",3
"i","had","never","heard",3
"i","had","on","hand",3
"i","have","a","lot",3
"i","have","a","very",3
"i","have","come","to",3
"i","have","ever","had",3
"i","have","managed","to",3
"i","have","never","been",3
"i","have","to","confess",3
"i","have","to","give",3
"i","have","yet","to",3
"i","hope","you","have",3
"i","just","want","to",3
"i","knew","i","had",3
"i","knew","it","was",3
"i","know","that","i",3
"i","loved","it","i",3
"i","might","have","been",3
"i","ran","out","of",3
"i","said","i","was",3
"i","think","i","may",3
"i","think","i","should",3
"i","think","its","because",3
"i","think","one","of",3
"i","think","there","is",3
"i","thought","i","had",3
"i","thought","id","share",3
"i","thought","they","were",3
"i","thought","to","myself",3
"i","used","to","think",3
"i","waited","pointlessly","for",3
"i","want","to","talk",3
"i","wanted","to","go",3
"i","was","planning","to",3
"i","was","so","excited",3
"i","was","thrilled","to",3
"i","wasnt","able","to",3
"i","went","back","to",3
"i","will","always","be",3
"i","will","be","able",3
"i","would","have","loved",3
"if","i","had","to",3
"if","it","was","a",3
"if","you","are","not",3
"if","you","dont","have",3
"if","you","have","never",3
"if","you","havent","already",3
"if","you","read","the",3
"if","youd","like","to",3
"if","youre","going","to",3
"im","going","to","do",3
"im","looking","forward","to",3
"im","not","sure","how",3
"im","not","sure","i",3
"in","a","long","time",3
"in","a","position","to",3
"in","a","series","of",3
"in","a","while","so",3
"in","addition","to","the",3
"in","any","of","the",3
"in","conjunction","with","the",3
"in","item","c","above",3
"in","my","life","i",3
"in","my","opinion","the",3
"in","new","york","and",3
"in","one","hand","and",3
"in","one","of","the",3
"in","order","to","be",3
"in","the","area","and",3
"in","the","comments","section",3
"in","the","context","of",3
"in","the","end","the",3
"in","the","first","quarter",3
"in","the","first","round",3
"in","the","fourth","quarter",3
"in","the","fridge","for",3
"in","the","interest","of",3
"in","the","late","s",3
"in","the","morning","i",3
"in","the","presence","of",3
"in","the","s","and",3
"in","the","same","place",3
"in","the","spring","of",3
"ingredients","that","i","had",3
"is","a","great","way",3
"is","just","going","to",3
"is","likely","to","be",3
"is","thanks","to","this",3
"is","that","i","am",3
"is","the","one","that",3
"is","the","possibility","of",3
"is","the","size","of",3
"it","at","the","time",3
"it","but","if","you",3
"it","can","be","a",3
"it","could","be","used",3
"it","is","filled","with",3
"it","is","important","to",3
"it","is","not","a",3
"it","is","possible","to",3
"it","is","thanks","to",3
"it","is","time","to",3
"it","is","to","be",3
"it","looks","like","a",3
"it","makes","me","feel",3
"it","needs","to","be",3
"it","reminded","me","of",3
"it","seems","to","be",3
"it","the","first","time",3
"it","turned","out","to",3
"it","used","to","be",3
"it","was","going","to",3
"it","was","not","a",3
"it","was","the","best",3
"it","was","the","first",3
"it","was","the","only",3
"it","was","time","for",3
"it","will","be","a",3
"its","because","of","the",3
"its","not","that","i",3
"ive","been","busy","with",3
"john","smiths","grand","national",3
"just","as","much","as",3
"just","go","back","to",3
"just","have","to","share",3
"just","wanted","to","be",3
"knew","i","had","to",3
"know","that","there","are",3
"know","what","it","is",3
"let","me","know","what",3
"let","me","tell","you",3
"look","at","all","the",3
"looks","at","me","and",3
"lots","and","lots","of",3
"love","at","first","sight",3
"love","to","hear","from",3
"make","a","lot","of",3
"make","the","most","of",3
"make","up","for","the",3
"makes","me","feel","a",3
"makes","me","want","to",3
"many","times","have","you",3
"may","not","have","been",3
"me","a","little","bit",3
"me","i","am","not",3
"me","that","i","had",3
"middle","of","the","night",3
"most","important","thing","is",3
"much","as","i","do",3
"much","more","than","just",3
"my","husband","on","the",3
"my","life","when","i",3
"my","sister","and","i",3
"need","to","get","out",3
"never","got","around","to",3
"never","too","late","to",3
"new","york","city","department",3
"new","york","daily","news",3
"no","choice","but","to",3
"no","idea","how","to",3
"no","one","wants","to",3
"not","going","to","be",3
"not","sure","if","i",3
"not","the","only","ones",3
"not","the","same","as",3
"not","this","year","i",3
"now","i","know","the",3
"now","im","going","to",3
"of","course","i","would",3
"of","it","as","a",3
"of","new","york","city",3
"of","the","country","and",3
"of","the","matter","is",3
"of","the","most","amazing",3
"of","the","things","i",3
"of","the","virgin","mary",3
"of","the","war","in",3
"of","the","world","and",3
"of","the","year","i",3
"of","those","who","are",3
"on","a","first","name",3
"on","a","regular","basis",3
"on","our","way","home",3
"on","the","big","screen",3
"on","the","way","back",3
"on","the","way","to",3
"on","to","the","next",3
"on","top","of","the",3
"once","and","for","all",3
"one","at","a","time",3
"one","of","my","favourite",3
"one","of","the","first",3
"one","of","the","many",3
"one","of","the","top",3
"or","at","least","not",3
"other","arrangements","correspond","to",3
"out","one","of","the",3
"over","and","over","again",3
"over","the","course","of",3
"part","of","the","world",3
"part","of","who","we",3
"probably","one","of","the",3
"ratings","for","every","senior",3
"rb","singles","chart","entry",3
"read","between","the","lines",3
"realized","that","i","was",3
"really","dont","want","to",3
"remember","the","last","time",3
"remember","what","it","was",3
"rest","of","my","life",3
"right","in","front","of",3
"run","of","the","mill",3
"said","i","was","going",3
"see","some","of","the",3
"seems","to","have","a",3
"sell","less","than","copies",3
"send","me","an","email",3
"she","is","one","of",3
"should","we","never","settle",3
"smiths","grand","national","record",3
"so","here","it","is",3
"so","here","we","go",3
"so","i","had","to",3
"so","i","need","to",3
"so","if","you","have",3
"so","im","going","to",3
"so","needless","to","say",3
"so","that","we","can",3
"so","you","can","see",3
"some","of","my","favorite",3
"some","of","the","other",3
"some","time","to","get",3
"sometimes","you","just","have",3
"st","dc","in","next",3
"started","the","year","off",3
"stay","at","home","mom",3
"sullivan","ev","rosenbloom","mj",3
"take","better","care","of",3
"take","care","of","the",3
"take","the","time","to",3
"thanks","for","stopping","by",3
"thanks","so","much","for",3
"thanks","to","this","elite",3
"that","a","few","of",3
"that","all","of","the",3
"that","being","said","i",3
"that","he","knew","what",3
"that","i","am","a",3
"that","i","did","not",3
"that","i","had","an",3
"that","i","have","to",3
"that","i","think","i",3
"that","im","going","to",3
"that","is","not","the",3
"that","it","is","the",3
"that","it","was","a",3
"that","it","was","the",3
"that","it","would","be",3
"that","there","is","no",3
"that","there","was","a",3
"that","this","is","not",3
"that","was","a","good",3
"that","we","had","a",3
"that","would","have","been",3
"that","you","dont","have",3
"thats","not","to","say",3
"the","battle","of","the",3
"the","best","part","of",3
"the","bill","of","rights",3
"the","blood","of","the",3
"the","course","of","the",3
"the","destruction","of","the",3
"the","end","of","this",3
"the","fact","that","she",3
"the","great","wall","of",3
"the","hard","part","is",3
"the","importance","of","a",3
"the","last","time","you",3
"the","law","of","the",3
"the","leader","of","the",3
"the","merchants","website","by",3
"the","new","york","city",3
"the","next","few","weeks",3
"the","one","thing","i",3
"the","only","people","who",3
"the","only","thing","missing",3
"the","only","way","to",3
"the","opportunity","to","learn",3
"the","price","of","a",3
"the","real","point","is",3
"the","rest","is","history",3
"the","rest","of","us",3
"the","rest","of","your",3
"the","right","of","the",3
"the","sides","of","the",3
"the","son","of","man",3
"the","th","anniversary","of",3
"the","time","i","was",3
"the","time","of","the",3
"the","two","of","them",3
"the","type","of","person",3
"the","united","states","in",3
"the","university","of","chicago",3
"the","us","department","of",3
"the","use","of","the",3
"the","vast","majority","of",3
"the","very","next","day",3
"the","way","it","was",3
"the","work","of","the",3
"then","i","started","to",3
"there","are","a","number",3
"there","are","times","when",3
"there","are","too","many",3
"there","has","been","a",3
"there","is","no","other",3
"there","is","no","way",3
"there","is","not","a",3
"there","is","the","possibility",3
"there","needs","to","be",3
"there","was","a","time",3
"they","dont","have","the",3
"this","blog","post","is",3
"this","is","a","good",3
"this","is","a","great",3
"this","is","going","to",3
"this","is","how","i",3
"this","is","not","the",3
"this","is","the","best",3
"this","is","the","last",3
"this","is","the","story",3
"this","time","it","was",3
"this","time","of","year",3
"this","was","the","first",3
"this","would","be","a",3
"those","who","have","been",3
"thought","i","would","share",3
"time","for","me","to",3
"time","on","their","hands",3
"to","add","to","my",3
"to","be","a","bit",3
"to","be","a","girl",3
"to","be","a","very",3
"to","be","in","a",3
"to","be","in","my",3
"to","be","included","in",3
"to","be","the","first",3
"to","be","used","for",3
"to","do","the","right",3
"to","do","with","my",3
"to","escape","from","the",3
"to","find","out","how",3
"to","get","a","little",3
"to","go","back","and",3
"to","go","through","the",3
"to","go","to","a",3
"to","go","to","work",3
"to","have","sex","with",3
"to","hear","from","you",3
"to","help","me","keep",3
"to","him","and","he",3
"to","know","the","truth",3
"to","learn","from","the",3
"to","look","at","the",3
"to","look","forward","to",3
"to","make","a","decision",3
"to","make","sure","that",3
"to","me","at","the",3
"to","pick","up","a",3
"to","say","it","was",3
"to","say","that","i",3
"to","see","how","much",3
"to","see","what","the",3
"to","share","with","you",3
"to","show","just","how",3
"to","take","advantage","of",3
"to","take","care","of",3
"to","tell","you","that",3
"to","the","conclusion","that",3
"to","the","point","of",3
"to","the","possibility","of",3
"to","the","way","things",3
"to","think","about","how",3
"to","think","about","the",3
"to","this","elite","that",3
"to","those","who","have",3
"to","try","and","keep",3
"to","win","one","of",3
"to","work","on","the",3
"to","work","with","them",3
"two","or","three","times",3
"united","states","of","america",3
"until","light","and","fluffy",3
"used","to","be","a",3
"waited","pointlessly","for","my",3
"wake","up","in","the",3
"want","it","to","be",3
"want","to","be","in",3
"want","to","get","into",3
"want","to","talk","about",3
"wanted","to","do","it",3
"was","not","alone","in",3
"was","one","of","those",3
"was","that","there","was",3
"we","are","not","the",3
"we","are","on","the",3
"we","go","back","to",3
"we","have","tried","to",3
"we","live","in","a",3
"we","never","settle","for",3
"we","went","to","a",3
"we","were","able","to",3
"went","out","to","lunch",3
"what","are","you","doing",3
"what","do","you","like",3
"what","i","want","to",3
"what","im","talking","about",3
"what","is","going","on",3
"what","its","like","to",3
"what","you","want","to",3
"when","i","found","out",3
"when","i","thought","i",3
"when","i","want","to",3
"when","i","went","to",3
"when","it","came","to",3
"where","does","it","come",3
"where","i","will","be",3
"who","happens","to","be",3
"will","be","on","the",3
"with","a","trip","to",3
"with","her","she","was",3
"with","the","fact","that",3
"wont","be","able","to",3
"would","be","better","to",3
"would","have","been","the",3
"would","like","to","offer",3
"you","are","in","the",3
"you","are","the","light",3
"you","can","check","out",3
"you","can","click","on",3
"you","can","find","a",3
"you","can","see","in",3
"you","can","see","that",3
"you","get","to","the",3
"you","have","a","great",3
"you","have","to","be",3
"you","have","to","do",3
"you","know","what","that",3
"you","look","at","the",3
"you","only","have","one",3
"you","want","to","avoid",3
"you","want","to","be",3
"you","want","to","give",3
"you","want","to","know",3
"you","will","be","able",3
"you","will","find","a",3
"you","wont","be","disappointed",3
"a","baby","in","the",2
"a","bar","of","soap",2
"a","beautiful","photo","of",2
"a","bit","and","it",2
"a","bit","faster","than",2
"a","bit","like","a",2
